,Iteration,Learning Rate,Style Loss,Content Loss
IMG_0017_1,3000,0.001,0.858054,0.520156
IMG_0017_3,3000,0.005,0.792332,2.286666
IMG_0017_4,3000,0.002,2.65348,1.423053
IMG_0017_5,3000,0.001,0.786113,0.29296
IMG_0018_1,3000,0.002,0.489599,0.526137
IMG_0018_3,3000,0.004,2.067945,2.797774
IMG_0018_4,3000,0.002,3.944037,1.599827
IMG_0018_5,3000,0.001,0.768494,0.262579
IMG_0019_1,3000,0.002,0.530601,0.56294
IMG_0019_3,3000,0.004,1.935825,2.830514
IMG_0019_4,3000,0.002,1.572348,0.945817
IMG_0019_5,3000,0.001,0.608297,0.213034
IMG_0020_1,3000,0.002,0.444398,0.523212
IMG_0020_3,3000,0.004,1.125756,2.319865
IMG_0020_4,3000,0.002,1.666289,0.988157
IMG_0020_5,3000,0.001,0.537455,0.232491
IMG_0021_1,3000,0.002,0.274813,0.402387
IMG_0021_3,3000,0.004,0.700932,1.793019
IMG_0021_4,3000,0.002,1.467605,1.06954
IMG_0021_5,3000,0.001,0.415944,0.161535
IMG_0022_1,3000,0.002,0.375332,0.546978
IMG_0022_3,3000,0.004,0.649897,1.955825
IMG_0022_4,3000,0.002,1.226164,1.060385
IMG_0022_5,3000,0.001,0.437702,0.209276
IMG_0027_1,3000,0.004,0.64018,1.032711
IMG_0027_3,3000,0.004,0.921849,2.614376
IMG_0027_4,3000,0.003,2.4282,1.382213
IMG_0027_5,2000,0.001,0.577006,0.152677
IMG_0028_1,3000,0.003,0.287742,0.478542
IMG_0028_3,3000,0.003,1.228555,2.654437
IMG_0028_4,3000,0.002,2.822564,1.52378
IMG_0028_5,3000,0.001,1.701377,0.323355
IMG_0029_1,3000,0.002,1.785982,0.699945
IMG_0029_3,3000,0.006,3.524651,3.159361
IMG_0029_4,3000,0.001,0.977857,0.782731
IMG_0029_5,3000,0.001,0.689295,0.303831
IMG_0030_1,3000,0.003,1.195673,0.711467
IMG_0030_3,3000,0.006,3.427525,3.083829
IMG_0030_4,3000,0.002,0.831345,0.809756
IMG_0030_5,3000,0.001,0.723798,0.298687
IMG_0031_1,3000,0.002,1.136978,0.640846
IMG_0031_3,3000,0.006,4.228536,4.002317
IMG_0031_4,3000,0.001,0.692784,0.846255
IMG_0031_5,3000,0.001,0.23692,0.186525
IMG_0032_1,3000,0.001,0.636003,0.339714
IMG_0032_3,3000,0.005,1.932862,2.956093
IMG_0032_4,3000,0.002,0.763472,0.813614
IMG_0032_5,3000,0.001,0.919053,0.316323
IMG_0033_1,3000,0.002,0.59719,0.416557
IMG_0033_3,3000,0.007,2.434637,3.170309
IMG_0033_4,3000,0.002,0.615614,0.81469
IMG_0033_5,3000,0.001,0.573798,0.246829
IMG_0034_1,3000,0.003,1.160243,0.688756
IMG_0034_3,3000,0.006,5.680536,3.438147
IMG_0034_4,3000,0.001,0.172715,0.550296
IMG_0034_5,3000,0.001,0.048871,0.093397
IMG_0035_1,3000,0.001,0.104261,0.159708
IMG_0035_3,3000,0.007,1.638676,2.536413
IMG_0035_4,3000,0.001,0.316191,0.613682
IMG_0035_5,3000,0.001,0.124417,0.178557
IMG_0036_1,3000,0.003,0.938032,0.657261
IMG_0036_3,3000,0.005,4.36497,2.782816
IMG_0036_4,3000,0.001,0.648187,0.688838
IMG_0036_5,3000,0.001,0.10551,0.171428
IMG_0037_1,3000,0.002,0.621833,0.436978
IMG_0037_3,3000,0.006,2.209634,2.971768
IMG_0037_4,3000,0.002,0.685614,0.694355
IMG_0037_5,3000,0.001,0.360337,0.285682
IMG_0038_1,3000,0.002,2.34743,0.962599
IMG_0038_3,3000,0.003,10.391043,3.956449
IMG_0038_4,3000,0.003,1.158176,1.145143
IMG_0038_5,3000,0.002,0.961938,0.654976
IMG_0043_1,3000,0.002,0.510656,0.421965
IMG_0043_3,3000,0.005,2.771271,3.314562
IMG_0043_4,3000,0.001,1.432485,0.935625
IMG_0043_5,3000,0.001,0.39991,0.182993
IMG_0044_1,3000,0.001,0.061049,0.085723
IMG_0044_3,3000,0.003,3.168998,2.062731
IMG_0044_4,3000,0.001,0.171156,0.485908
IMG_0044_5,3000,0.001,0.052303,0.123344
IMG_0045_1,2000,0.001,0.066138,0.08846
IMG_0045_3,3000,0.004,2.340906,1.931027
IMG_0045_4,3000,0.001,0.236134,0.487851
IMG_0045_5,3000,0.001,0.057519,0.147644
IMG_0046_1,3000,0.001,0.111241,0.129143
IMG_0046_3,3000,0.004,2.856269,2.304325
IMG_0046_4,3000,0.001,0.146027,0.457054
IMG_0046_5,2000,0.001,0.049535,0.118272
IMG_0047_1,1000,0.001,0.243174,0.126156
IMG_0047_3,3000,0.005,3.786506,2.700276
IMG_0047_4,2000,0.002,0.458687,0.55286
IMG_0047_5,3000,0.001,0.25198,0.204894
IMG_0048_1,3000,0.001,0.636658,0.257206
IMG_0048_3,3000,0.007,4.101008,2.837499
IMG_0048_4,3000,0.001,0.153291,0.556703
IMG_0048_5,3000,0.001,0.213381,0.246087
IMG_0049_1,3000,0.002,0.372772,0.289268
IMG_0049_3,3000,0.007,4.687044,3.215379
IMG_0049_4,3000,0.001,0.217266,0.633144
IMG_0049_5,3000,0.001,0.086358,0.138607
IMG_0050_1,2000,0.001,0.047138,0.109778
IMG_0050_3,3000,0.002,0.297443,1.542665
IMG_0050_4,3000,0.004,14.88361,4.798628
IMG_0050_5,3000,0.002,0.104173,0.528013
IMG_0051_1,3000,0.001,0.057364,0.116571
IMG_0051_3,2000,0.003,0.423767,1.632763
IMG_0051_4,3000,0.005,11.811049,4.653771
IMG_0051_5,3000,0.002,0.071864,0.339978
IMG_0052_1,3000,0.001,0.088652,0.189357
IMG_0052_3,3000,0.002,0.59382,1.660137
IMG_0052_4,3000,0.005,10.410517,4.779832
IMG_0052_5,3000,0.001,0.059281,0.381383
IMG_0053_1,2000,0.001,0.06877,0.195236
IMG_0053_3,3000,0.002,0.23404,1.297084
IMG_0053_4,3000,0.003,4.481641,3.242682
IMG_0053_5,2000,0.001,0.062505,0.171652
IMG_0054_1,3000,0.002,0.079058,0.180396
IMG_0054_3,3000,0.002,0.11634,0.996413
IMG_0054_4,3000,0.003,1.348268,2.145307
IMG_0054_5,3000,0.001,0.045625,0.129847
IMG_0058_1,3000,0.001,0.305367,0.219729
IMG_0058_3,3000,0.003,1.164316,2.009869
IMG_0058_4,3000,0.001,1.30843,1.03221
IMG_0058_5,2000,0.001,0.513672,0.153842
IMG_0059_1,3000,0.001,0.157488,0.176193
IMG_0059_3,3000,0.002,0.888368,1.820155
IMG_0059_4,3000,0.002,1.4404,0.98732
IMG_0059_5,3000,0.001,0.149705,0.162876
IMG_0060_1,3000,0.003,0.433351,0.508685
IMG_0060_3,3000,0.005,1.415418,2.197733
IMG_0060_4,3000,0.002,1.56301,1.049615
IMG_0060_5,3000,0.001,0.156289,0.151614
IMG_0061_1,3000,0.001,0.049412,0.182629
IMG_0061_3,3000,0.006,1.12312,2.333652
IMG_0061_4,3000,0.002,1.841765,1.077543
IMG_0061_5,3000,0.001,0.209579,0.119741
IMG_0062_1,3000,0.001,0.2535,0.235491
IMG_0062_3,3000,0.007,1.576526,2.717803
IMG_0062_4,3000,0.002,1.021808,1.010075
IMG_0062_5,3000,0.001,0.261109,0.138178
IMG_0063_1,3000,0.001,0.297059,0.306785
IMG_0063_3,3000,0.007,3.15683,3.566948
IMG_0063_4,3000,0.002,1.437378,1.205413
IMG_0063_5,3000,0.001,0.22594,0.149732
IMG_0064_1,3000,0.001,0.230371,0.274443
IMG_0064_3,3000,0.005,3.740469,3.377242
IMG_0064_4,2000,0.002,0.740177,1.000402
IMG_0064_5,3000,0.001,0.089489,0.170829
IMG_0070_1,3000,0.002,0.803789,0.422255
IMG_0070_3,3000,0.007,1.811495,2.890928
IMG_0070_4,3000,0.001,0.325519,0.642954
IMG_0070_5,3000,0.001,0.259769,0.265564
IMG_0071_1,3000,0.002,0.770255,0.395151
IMG_0071_3,3000,0.005,2.904946,2.507939
IMG_0071_4,3000,0.001,0.087813,0.381496
IMG_0071_5,3000,0.001,0.193878,0.155282
IMG_0072_1,3000,0.002,0.207159,0.215596
IMG_0072_3,3000,0.002,1.519423,1.766115
IMG_0072_4,2000,0.001,0.106845,0.379101
IMG_0072_5,2000,0.001,0.046553,0.081231
IMG_0073_1,3000,0.001,0.213701,0.208373
IMG_0073_3,3000,0.003,1.147038,1.752904
IMG_0073_4,3000,0.001,0.058305,0.362947
IMG_0073_5,3000,0.001,0.016968,0.085531
IMG_0074_1,3000,0.001,0.14424,0.141144
IMG_0074_3,3000,0.003,0.81161,1.541541
IMG_0074_4,3000,0.002,0.2369,0.435719
IMG_0074_5,3000,0.001,0.260374,0.185831
IMG_0075_1,2000,0.001,0.109904,0.172766
IMG_0075_3,3000,0.003,2.8589,2.000695
IMG_0075_4,2000,0.001,0.097516,0.528703
IMG_0075_5,3000,0.001,0.0485,0.165236
IMG_0076_1,3000,0.001,0.077871,0.144747
IMG_0076_3,3000,0.004,4.101186,2.036488
IMG_0076_4,2000,0.001,0.097256,0.518086
IMG_0076_5,2000,0.001,0.106284,0.164611
IMG_0077_1,3000,0.001,0.184824,0.217529
IMG_0077_3,3000,0.004,5.169726,2.818655
IMG_0077_4,3000,0.001,0.212456,0.500468
IMG_0077_5,2000,0.001,0.227194,0.168614
IMG_0078_1,3000,0.002,0.848953,0.490335
IMG_0078_3,3000,0.005,5.961627,3.234757
IMG_0078_4,3000,0.001,0.134398,0.61748
IMG_0078_5,3000,0.001,0.073322,0.1814
IMG_0079_1,3000,0.001,0.046206,0.126664
IMG_0079_3,3000,0.002,0.427722,1.317232
IMG_0079_4,3000,0.003,5.711399,2.865757
IMG_0079_5,3000,0.001,0.052837,0.211479
IMG_0080_1,3000,0.001,0.099245,0.232497
IMG_0080_3,3000,0.003,0.428207,1.681799
IMG_0080_4,3000,0.005,4.175847,3.624532
IMG_0080_5,3000,0.001,0.036278,0.231684
IMG_0081_1,3000,0.001,0.084964,0.455561
IMG_0081_3,3000,0.002,0.239373,1.645187
IMG_0081_4,3000,0.003,3.360344,2.140527
IMG_0081_5,3000,0.001,0.675869,0.386615
IMG_0082_1,3000,0.001,0.073986,0.326987
IMG_0082_3,3000,0.002,0.192349,1.182316
IMG_0082_4,3000,0.002,1.062472,1.172807
IMG_0082_5,3000,0.001,0.118606,0.202094
IMG_0087_1,3000,0.001,1.076489,0.619133
IMG_0087_3,3000,0.003,2.329849,2.490074
IMG_0087_4,3000,0.003,0.904584,1.145558
IMG_0087_5,3000,0.002,0.38284,0.491812
IMG_0088_1,2000,0.002,1.002074,0.650644
IMG_0088_3,3000,0.004,1.695991,2.500979
IMG_0088_4,3000,0.002,1.38724,1.134618
IMG_0088_5,3000,0.003,0.454013,0.549677
IMG_0089_1,3000,0.002,0.175038,0.271048
IMG_0089_3,3000,0.007,0.432696,1.598606
IMG_0089_4,3000,0.002,0.878387,0.730144
IMG_0089_5,3000,0.001,0.339141,0.157416
IMG_0090_1,3000,0.001,0.283435,0.215509
IMG_0090_3,3000,0.004,0.571028,1.442281
IMG_0090_4,3000,0.002,0.622683,0.651904
IMG_0090_5,3000,0.001,0.239845,0.120922
IMG_0091_1,3000,0.001,0.288056,0.210941
IMG_0091_3,3000,0.004,1.736939,1.725967
IMG_0091_4,3000,0.001,0.083157,0.340146
IMG_0091_5,2000,0.001,0.042965,0.10022
IMG_0092_1,3000,0.001,0.321238,0.22194
IMG_0092_3,3000,0.005,0.581309,1.755675
IMG_0092_4,3000,0.002,0.570631,0.737121
IMG_0092_5,3000,0.001,0.46552,0.330669
IMG_0093_1,3000,0.001,0.388175,0.313614
IMG_0093_3,3000,0.004,0.320874,1.690515
IMG_0093_4,3000,0.001,3.736314,0.981083
IMG_0093_5,3000,0.002,1.372661,0.931991
IMG_0094_1,3000,0.002,0.364395,0.353388
IMG_0094_3,3000,0.004,0.496665,1.893829
IMG_0094_4,3000,0.001,2.798054,0.871508
IMG_0094_5,3000,0.001,0.66581,0.184688
IMG_0095_1,3000,0.002,0.261258,0.390904
IMG_0095_3,3000,0.004,0.900898,2.062287
IMG_0095_4,3000,0.002,1.540048,0.743228
IMG_0095_5,3000,0.002,0.385917,0.168541
IMG_0096_1,3000,0.002,0.448262,0.471098
IMG_0096_3,3000,0.006,0.986468,2.233637
IMG_0096_4,3000,0.001,1.376837,0.618098
IMG_0096_5,3000,0.001,0.265926,0.133099
IMG_0101_1,3000,0.001,0.507557,0.295413
IMG_0101_3,3000,0.004,3.187484,2.944866
IMG_0101_4,3000,0.001,0.647058,0.589679
IMG_0101_5,3000,0.001,0.409398,0.162749
IMG_0102_1,3000,0.001,0.506794,0.235283
IMG_0102_3,3000,0.005,1.854881,2.530339
IMG_0102_4,3000,0.001,1.631301,0.600997
IMG_0102_5,3000,0.001,0.760537,0.218394
IMG_0103_1,2000,0.001,0.064357,0.085706
IMG_0103_3,3000,0.007,3.117135,2.74244
IMG_0103_4,3000,0.001,0.466478,0.563659
IMG_0103_5,3000,0.001,0.179536,0.165549
IMG_0104_1,3000,0.003,0.831706,0.459744
IMG_0104_3,3000,0.005,6.19872,3.365804
IMG_0104_4,3000,0.001,0.445447,0.657759
IMG_0104_5,3000,0.001,0.271716,0.170855
IMG_0105_1,3000,0.004,2.644468,1.27988
IMG_0105_3,3000,0.006,11.470368,4.899899
IMG_0105_4,3000,0.001,0.407818,0.893443
IMG_0105_5,3000,0.001,0.264854,0.231522
IMG_0106_1,3000,0.003,0.867844,0.465686
IMG_0106_3,3000,0.005,3.832915,3.375851
IMG_0106_4,3000,0.001,1.576986,1.189981
IMG_0106_5,3000,0.001,0.627829,0.271877
IMG_0107_1,3000,0.002,0.698254,0.471726
IMG_0107_3,3000,0.005,3.063256,3.520779
IMG_0107_4,3000,0.002,1.219969,1.174704
IMG_0107_5,3000,0.001,0.73842,0.280975
IMG_0108_1,3000,0.001,0.065925,0.162621
IMG_0108_3,3000,0.003,0.571486,1.526106
IMG_0108_4,3000,0.004,4.885954,3.363019
IMG_0108_5,2000,0.001,0.063251,0.224402
IMG_0109_1,2000,0.001,0.044149,0.161635
IMG_0109_3,3000,0.002,0.194625,1.056912
IMG_0109_4,3000,0.003,2.17096,2.321811
IMG_0109_5,3000,0.001,0.046304,0.162213
